search URL:,https://patents.google.com/?q=%28~patent%252fUS20180069262A1%29&q=%28~patent%252fUS11705576B2%29&q=%28~patent%252fUS11258057B2%29&q=%28~patent%252fCN110311168B%29&q=%28~patent%252fCN111344812B%29&q=%28~patent%252fCN111509222A%29&q=%28~patent%252fCN114122503A%29&q=%28~patent%252fGB2039864A%29&oq=%28~patent%252fCN111344812B%29+OR+%28~patent%252fUS11705576B2%29+OR+%28~patent%252fUS11258057B2%29+OR+%28~patent%252fUS20180069262A1%29+OR+%28~patent%252fCN110311168B%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2021534554-A,Sulfur-based positive electrode active material for solid-state batteries and its preparation method and application ,インスティテュート オブ フィジックス， チャイニーズ アカデミー オブ サイエンシーズ,"ホアン，シュエジエ, ユー，ハイロン, ジャン，ユエンジエ, チー，ウェンビン, ジャオ，ウェンウー",2018-08-17,2019-08-06,2021-12-09,,https://patents.google.com/patent/JP2021534554A/en,https://patentimages.storage.googleapis.com/56/69/8f/07a5abd02409aa/2021534554-7.png
WO-2017152171-A1,Stable room-temperature sodium-sulfur battery ,Cornell University,"Lynden A. Archer, Shuya WEI",2016-03-04,2017-03-06,2017-09-08,,https://patents.google.com/patent/WO2017152171A1/en,
JP-2015195164-A,nonaqueous secondary battery ,"国立大学法人 東京大学, Univ Of Tokyo, 国立大学法人  東京大学","山田　淳夫, Atsuo Yamada, 淳夫 山田, 裕貴 山田, Hirotaka Yamada, 裕貴 山田, 佳浩 中垣, Yoshihiro Nakagaki, 佳浩 中垣, 智之 河合, Tomoyuki Kawai, 智之 河合, 浩平 間瀬, Kohei Mase, 浩平 間瀬, 雄紀 長谷川, Yuki Hasegawa, 雄紀 長谷川, 合田　信弘, Nobuhiro Aida, 信弘 合田",2013-09-25,2014-09-12,2015-11-05,,https://patents.google.com/patent/JP2015195164A/en,
JP-7055587-B2,Manufacturing method of positive electrode active material for non-aqueous electrolyte secondary battery ,住友金属鉱山株式会社,"佑樹 古市, 哲史 小向",2015-09-25,2015-09-25,2022-04-18,2022-04-18,https://patents.google.com/patent/JP7055587B2/en,https://patentimages.storage.googleapis.com/3a/55/5d/638ff9f0b3cfd1/0007055587000002.png
EP-3117474-B1,Cathode for lithium batteries ,"Repsol, S.A.","Antonio PÁEZ DUEÑAS, Jesús GARCÍA SAN LUIS, José Manuel AMARILLA ÁLVAREZ, Beatriz VÁZQUEZ SANTOS, Rosa María MENÉNDEZ LÓPEZ, Ricardo SANTAMARÍA RAMÍREZ, Clara BLANCO RODRÍGUEZ, Fernando CALLE GÓMEZ",2014-07-10,2015-07-10,2018-01-24,2018-01-24,https://patents.google.com/patent/EP3117474B1/en,https://patentimages.storage.googleapis.com/c7/03/ca/faad8c6bb4e56c/imgf0001.png
US-11990583-B2,Sulfide solid electrolyte and method of producing the same ,"Mitsui Mining & Smelting Co., Ltd.","Yuki NAKAYAMA, Takahiro Ito, Tsukasa Takahashi",2019-12-27,2020-12-25,2024-05-21,2024-05-21,https://patents.google.com/patent/US11990583B2/en,https://patentimages.storage.googleapis.com/91/14/42/0100900735c4de/US11990583-20240521-D00000.png
KR-20220037037-A,"Cathode complex comprising porous carbon substrate, and all solid lithium-sulfur battery comprising the same ",한국생산기술연구원,"임진섭, 김호성, 김민영, 허국진, 이종관, 임제홍",2020-09-16,2020-09-16,2022-03-24,,https://patents.google.com/patent/KR20220037037A/en,https://patentimages.storage.googleapis.com/f8/92/73/db8b95b8b481c6/pat00001.png
WO-2015045387-A1,Non-aqueous electrolyte secondary battery ,国立大学法人東京大学,"山田　淳夫, 裕貴 山田, 佳浩 中垣, 智之 河合, 雄紀 長谷川, 浩平 間瀬, 合田　信弘",2013-09-25,2014-09-25,2015-04-02,,https://patents.google.com/patent/WO2015045387A1/en,https://patentimages.storage.googleapis.com/ac/32/50/7b9bb73410effb/JPOXMLDOC01-appb-D000001.png
CA-3002650-C,Synthesis and characterization of lithium nickel manganese cobalt phosphorous oxide ,"Changs Ascending Enterprise Co., Ltd., Chun-Chieh Chang, Tsun Yu Chang","Chun-Chieh Chang, Tsun Yu Chang",2014-07-24,2014-07-24,2022-04-12,2022-04-12,https://patents.google.com/patent/CA3002650C/en,
CN-116544417-A,"Positive electrode active material, preparation method thereof, positive electrode plate and sodium ion battery ",宁波容百新能源科技股份有限公司,"薛志高, 武增雪, 孙伟丽, 王尊志, 刘瑞, 李琮熙",2023-07-06,2023-07-06,2023-08-04,,https://patents.google.com/patent/CN116544417A/en,
US-2017033398-A1,"Electrode assembly, all-solid state secondary battery, and method for producing electrode assembly ",Seiko Epson Corporation,Tomofumi YOKOYAMA,2015-07-30,2016-06-28,2017-02-02,,https://patents.google.com/patent/US20170033398A1/en,https://patentimages.storage.googleapis.com/8e/95/62/42dd55547f925c/US20170033398A1-20170202-D00000.png
KR-20180072116-A,"Solid electrolytes for all solid state rechargeable lithium battery, methods for manufacturing the same, and all solid state rechargeable lithium battery including the same ",울산과학기술원,"정윤석, 박건호",2016-12-21,2016-12-21,2018-06-29,,https://patents.google.com/patent/KR20180072116A/en,https://patentimages.storage.googleapis.com/9e/83/b9/ddc3b98e426fe2/pat00013.png
JP-7392231-B2,"Glass frit, crystallized glass, manufacturing method of crystallized glass, solid electrolyte and lithium ion secondary battery ",Ａｇｃ株式会社,"雄也 目崎, 徳克 ▲萱▼▲場▼, 智弘 酒井",2018-10-31,2019-10-02,2023-12-06,2023-12-06,https://patents.google.com/patent/JP7392231B2/en,https://patentimages.storage.googleapis.com/c0/64/b9/35bb8783deb3d3/0007392231000003.png
KR-20190059198-A,Cathode active material of lithium secondary battery ,주식회사 에코프로비엠,"장성진, 최문호, 서준원, 이중한, 남지현, 최승우",2017-11-22,2018-08-16,2019-05-30,,https://patents.google.com/patent/KR20190059198A/en,https://patentimages.storage.googleapis.com/a4/dd/ac/98585ee87e5152/pat00001.png
CN-101740750-B,"Method for preparing anode active substance, anode active substance, anode and battery ",比亚迪股份有限公司,"田野, 程堂利, 席小兵",2008-11-05,2008-12-26,2013-04-10,2013-04-10,https://patents.google.com/patent/CN101740750B/en,https://patentimages.storage.googleapis.com/df/bf/9a/dca30077c87f5f/H2008101892354E00011.png
KR-101430617-B1,Electrode comprising niobium oxide and lithium battery using the same ,삼성에스디아이 주식회사,박정원,2008-02-26,2008-02-26,2014-08-18,2014-08-18,https://patents.google.com/patent/KR101430617B1/en,https://patentimages.storage.googleapis.com/83/d8/59/8b2368702008f7/112008014137503-pat00001.png
CN-112313826-A,Nonaqueous electrolyte secondary battery ,松下知识产权经营株式会社,"西谷仁志, 出口正树",2018-06-29,2019-02-20,2021-02-02,,https://patents.google.com/patent/CN112313826A/en,https://patentimages.storage.googleapis.com/82/3c/3e/4c81304ff8cb04/HDA0002841559800000011.png
CN-103290293-B,Lithium-aluminium alloy and production method thereof and purposes ,四川天齐锂业股份有限公司,"金鹏, 曹乃珍, 关成, 涂明江, 赵本常, 左永建, 陈绍林, 熊仁利, 罗玉萍, 李仕红",2013-06-05,2013-06-05,2016-02-24,2016-02-24,https://patents.google.com/patent/CN103290293B/en,
US-2014023933-A1,"Non-aqueous electrolyte secondary battery, and process for producing same ","Ohara Inc., Sanyo Electric Co., Ltd.","Takanobu Chiga, Naoki Imachi, Jun TERAMOTO, Yasushi Inda",2011-03-30,2012-03-15,2014-01-23,,https://patents.google.com/patent/US20140023933A1/en,
EP-3123541-B1,Beta-delithiated layered nickel oxide electrochemically active cathode material and a battery including said material ,"Duracell U.S. Operations, Inc.","Jennifer Anne NELSON, David Lloyd Anglin, Mariarosa BRUNDU, Paul Albert Christian",2014-03-28,2015-03-19,2019-03-13,2019-03-13,https://patents.google.com/patent/EP3123541B1/en,https://patentimages.storage.googleapis.com/fa/b8/c7/7bbc514d78ed23/imgf0001.png
CN-101432909-B,Secondary electrochemical cell having a novel electrode active material ,威伦斯技术公司,"M·耶齐德·赛义迪, 黄海涛",2006-05-02,2007-05-01,2011-09-14,2011-09-14,https://patents.google.com/patent/CN101432909B/en,https://patentimages.storage.googleapis.com/86/be/36/d41d753b110de9/H2007800156573E00011.png
JP-5601615-B2,NEGATIVE ELECTRODE ACTIVE MATERIAL FOR ELECTRIC STORAGE DEVICE AND METHOD FOR PRODUCING THE SAME ,"日本電気硝子株式会社, 独立行政法人産業技術総合研究所","英郎 山内, 知浩 永金, 明彦 坂本, 哲男 境, ビセイ スウ",2009-10-22,2010-10-21,2014-10-08,2014-10-08,https://patents.google.com/patent/JP5601615B2/en,https://patentimages.storage.googleapis.com/9d/34/b9/630e5a23a59dc3/0005601615-4.png
JP-6923173-B2,"Sulfur-containing complex, its production method, and solid electrolyte production method ",出光興産株式会社,"千賀　実, 実 千賀, 孝 梅木, 孝 梅木",2016-12-14,2016-12-14,2021-08-18,2021-08-18,https://patents.google.com/patent/JP6923173B2/en,https://patentimages.storage.googleapis.com/73/9f/7e/9e2c57f48a57e4/0006923173-4.png
TW-I794224-B,"Electrode for electrochemical device, manufacturing method thereof, electrochemical device, and polymer electrolyte composition ",南韓商Ｌｇ新能源股份有限公司,"瀨良祐介, 小川秀之, 三國紘揮",2017-04-21,2018-04-20,2023-03-01,2023-03-01,https://patents.google.com/patent/TWI794224B/en,https://patentimages.storage.googleapis.com/9f/a3/f1/12033021b18ed8/107113583-A0304-14-0001-1.png
KR-101876861-B1,Hybrid solid electrolyte for all solid lithium secondary battery and method for preparing the same ,한국생산기술연구원,"장덕례, 김호성, 임진섭, 김주민, 우민홍, 송정아",2016-08-04,2016-08-04,2018-07-10,2018-07-10,https://patents.google.com/patent/KR101876861B1/en,https://patentimages.storage.googleapis.com/41/33/41/c0cd99b405eced/112016075815535-pat00002.png
CN-112993389-A,Lithium-rich anti-perovskite oxide composite electrolyte and preparation method and application thereof ,南方科技大学,"邓永红, 池上森, 王庆荣, 韩兵, 冯东宇, 赵予生",2018-12-28,2018-12-28,2021-06-18,,https://patents.google.com/patent/CN112993389A/en,https://patentimages.storage.googleapis.com/55/4d/ef/ab1585ed16d274/HDA0002964714670000011.png
JP-WO2018043436-A1,Heterogeneous metal-containing lithium nickel composite oxide and method for producing the same ,国立研究開発法人産業技術総合研究所,"田渕　光春, 光春 田渕",2016-08-30,2017-08-28,2019-06-24,,https://patents.google.com/patent/JPWO2018043436A1/en,https://patentimages.storage.googleapis.com/1e/f9/ab/b7aa15d0579f42/2018043436-6.png
CN-112838204-A,"Negative electrode active material, preparation method thereof, negative electrode material, negative electrode sheet and battery ",欣旺达电动汽车电池有限公司,"乔万春, 徐莉娟, 褚春波, 张耀",2021-01-07,2021-01-07,2021-05-25,,https://patents.google.com/patent/CN112838204A/en,https://patentimages.storage.googleapis.com/15/fd/d4/262a0f728e1d54/HDA0002888094400000011.png
JP-2010045019-A,"All-solid lithium secondary battery, and method of manufacturing the same ","Tokyo Metropolitan Univ, 公立大学法人首都大学東京, Ngk Insulators Ltd, 日本碍子株式会社","Kiyoshi Kanemura, 聖志 金村, Masanori Hara, 正則 原, Atsushi Kiyama, 敦史 帰山, Toshihiro Yoshida, 俊広 吉田, Akihiko Honda, 昭彦 本多, Yosuke Sato, 洋介 佐藤",2008-07-16,2009-06-25,2010-02-25,,https://patents.google.com/patent/JP2010045019A/en,
CN-115663393-A,Chlorine-end-group MXene ink-based diaphragm for lithium metal battery and preparation method thereof ,华南理工大学,"杜丽, 张宝霖, 齐圣光, 梁振兴",2022-11-02,2022-11-02,2023-01-31,,https://patents.google.com/patent/CN115663393A/en,https://patentimages.storage.googleapis.com/3a/dd/66/2e68ce48eac883/HDA0003921725200000011.png
KR-20130040777-A,Carbophosphates and related compounds ,메사추세츠 인스티튜트 오브 테크놀로지,"걸브랜드 세더, 하일롱 췐, 로버트 이 도, 제프로이 호티얼, 아누바르 제인, 강병우",2010-02-22,2011-02-22,2013-04-24,,https://patents.google.com/patent/KR20130040777A/en,https://patentimages.storage.googleapis.com/e1/29/c4/95f480fcf242cb/pct00001.png
KR-20160085998-A,Method for synthesis of Silicon/Carbon/CNT as the lithium secondary battery anode material ,충북대학교 산학협력단,이종대,2015-01-08,2015-01-08,2016-07-19,,https://patents.google.com/patent/KR20160085998A/en,https://patentimages.storage.googleapis.com/44/70/9e/07a96a82c82f15/pat00001.png
CN-107611374-A,A kind of preparation method of new lithium sulfur battery anode material ,哈尔滨工业大学,"孙克宁, 吴宪, 张乃庆, 范立双, 王鹏翔",2017-08-18,2017-08-18,2018-01-19,,https://patents.google.com/patent/CN107611374A/en,
JP-2019179714-A,Positive electrode active material ,"株式会社豊田自動織機, Toyota Industries Corp","泰彰 岡山, Yasuaki Okayama, 泰彰 岡山, 明 後藤, Akira Goto, 明 後藤, 裕輔 山本, Hirosuke Yamamoto, 裕輔 山本, 宏隆 曽根, Hirotaka Sone, 宏隆 曽根, 尚 杉江, Takashi Sugie, 尚 杉江",2018-03-30,2018-03-30,2019-10-17,,https://patents.google.com/patent/JP2019179714A/en,
TW-202126575-A,"Sulfide compound particle, solid electrolyte and lithium secondary battery ",日商三井金屬鑛業股份有限公司,"伊藤崇広, 高橋司, 百武優, 八木輝明",2020-01-07,2020-01-07,2021-07-16,,https://patents.google.com/patent/TW202126575A/en,
CN-106785020-A,A kind of lithium sulfide system solid electrolyte material containing silver bromide and preparation method thereof ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2017-05-31,,https://patents.google.com/patent/CN106785020A/en,
JP-2023152966-A,"Solid sulfide electrolyte, method for producing the same, electrode composite and lithium-ion battery ","出光興産株式会社, Idemitsu Kosan Co Ltd, 国立大学法人千葉大学, Univ Chiba Nat Univ Corp","太 宇都野, Futoshi Utsuno, 貴洋 大窪, Takahiro Okubo",2022-03-31,2023-03-30,2023-10-17,,https://patents.google.com/patent/JP2023152966A/en,
CN-106785018-B,"A kind of lithium sulfide system solid electrolyte material for adding lithium-tin alloy, silver bromide and silver chlorate and preparation method thereof ",桂林电器科学研究院有限公司,"王振宇, 朱凌云, 张天锦, 罗加悦, 汪英",2017-02-13,2017-02-13,2018-03-20,2018-03-20,https://patents.google.com/patent/CN106785018B/en,
JP-2022176803-A,"Solid electrolyte material, manufacturing method therefor and battery ","日亜化学工業株式会社, Nichia Chem Ind Ltd","健人 以西, Taketo Isai, 譲太 森本, Jota Morimoto, 友興 川▲崎▼, Tomooki Kawasaki, 謙一 小林, Kenichi Kobayashi",2021-05-17,2021-05-17,2022-11-30,,https://patents.google.com/patent/JP2022176803A/en,https://patentimages.storage.googleapis.com/70/e8/57/798074d02040c9/2022176803000003.png
CN-106684461-A,Lithium sulfide solid electrolyte material containing silver iodide and silver bromide and preparation method of lithium sulfide solid electrolyte material ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2017-05-17,,https://patents.google.com/patent/CN106684461A/en,
WO-2024014382-A1,"Sulfide-based solid electrolyte and method for producing same, electrode mixture, solid electrolyte layer, and all-solid-state lithium ion secondary battery ",Ａｇｃ株式会社,"槙子 稲葉, 真弓 福峯, 公章 赤塚, 直樹 藤井",2022-07-11,2023-07-05,2024-01-18,,https://patents.google.com/patent/WO2024014382A1/en,https://patentimages.storage.googleapis.com/b4/a3/76/56743b6ef500cb/JPOXMLDOC01-appb-D000002.png
WO-2023243370-A1,"Sulfide-based solid electrolyte powder, method for producing sulfide-based solid electrolyte powder, sulfide-based solid electrolyte layer, and lithium ion secondary battery ",Ａｇｃ株式会社,"直樹 藤井, 公章 赤塚, 脩 本間",2022-06-17,2023-05-26,2023-12-21,,https://patents.google.com/patent/WO2023243370A1/en,https://patentimages.storage.googleapis.com/e1/e0/ad/106b64eeaef5b9/JPOXMLDOC01-appb-D000002.png
KR-102180352-B1,"Sulfide glass ceramic, process for producing the same, and all-solid secondary battery containing the solid electrolyte ",한양대학교 산학협력단,"신동욱, 최선호, 박찬휘, 이상수, 김규범, 김민희",2018-11-29,2018-11-29,2020-11-18,2020-11-18,https://patents.google.com/patent/KR102180352B1/en,https://patentimages.storage.googleapis.com/f8/27/12/b26e8395de8199/112018119670131-pat00001.png
JP-6783736-B2,Sulfide solid electrolyte ,"トヨタ自動車株式会社, 公立大学法人大阪","和誠 野本, 和誠 野本, 尚己 長田, 尚己 長田, 英行 山村, 英行 山村, 辰巳砂　昌弘, 昌弘 辰巳砂, 晃敏 林, 晃敏 林",2017-09-29,2017-09-29,2020-11-11,2020-11-11,https://patents.google.com/patent/JP6783736B2/en,
JP-7301013-B2,Sulfide-based solid electrolyte and all-solid lithium-ion battery ,Ｊｘ金属株式会社,誠 木村,2020-03-25,2020-03-25,2023-06-30,2023-06-30,https://patents.google.com/patent/JP7301013B2/en,
CN-107069080-A,A kind of lithium sulfide system solid electrolyte material for adding lithium-tin alloy and silver chlorate and preparation method thereof ,桂林电器科学研究院有限公司,"王振宇, 朱凌云, 张天锦, 何旻雁, 刘鑫雨",2017-02-13,2017-02-13,2017-08-18,,https://patents.google.com/patent/CN107069080A/en,
JP-2024040037-A,"Ion conductive substance, electrolyte, and battery ","住友化学株式会社, Sumitomo Chemical Co Ltd, 国立大学法人京都大学, Kyoto Univ","篤典 土居, Atsunori DOI, 奨 山林, Tsutomu YAMABAYASHI, 洋 陰山, Hiroshi Kageyama",2022-09-12,2022-09-12,2024-03-25,,https://patents.google.com/patent/JP2024040037A/en,https://patentimages.storage.googleapis.com/05/97/b2/a20d6f787afdfc/2024040037000005.png
WO-2022186303-A1,"Solid electrolyte, and electrode mixture, solid electrolyte layer and battery, each using solid electrolyte ",三井金属鉱業株式会社,徳彦 宮下,2021-03-03,2022-03-02,2022-09-09,,https://patents.google.com/patent/WO2022186303A1/en,https://patentimages.storage.googleapis.com/86/ba/ee/4fc1d4f00afd9f/JPOXMLDOC01-appb-D000004.png
CN-106785019-B,A kind of lithium sulfide system solid electrolyte material and preparation method thereof containing silver bromide and silver chlorate ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2019-04-12,2019-04-12,https://patents.google.com/patent/CN106785019B/en,
CN-117878387-A,"Solid electrolyte material, preparation method, electrolyte layer and lithium ion battery ","雄安稀土功能材料创新中心有限公司, 有研稀土高技术有限公司, 有研稀土新材料股份有限公司","余金秋, 蒋周青, 李林蔚, 罗亮, 马圣明, 余恺昕, 郑安逸",2023-12-18,2023-12-18,2024-04-12,,https://patents.google.com/patent/CN117878387A/en,
JP-2015187992-A,Novel lithium insertion electrode material based on orthosilicate derivative ,"ハイドロ−ケベック, Hydro Quebec, サントル ナシオナル ド ラ ルシェルシュ シアーンティフィク, Centre National De La Recherche Scientifique, サントル  ナシオナル  ド  ラ  ルシェルシュ  シアーンティフィク, ウニヴェルシテ ド モントリオール, Univ De Montreal, ウニヴェルシテ  ド  モントリオール","アルマン ミッシェル, Michel Armand, アルマン ミッシェル, ミショー クリストファー, Mishoe Christopher, ミショー クリストファー, ラーヴ ナタリー, Natalie Ravet, ラーヴ ナタリー, シモノー マルタン, Martin Simoneau, シモノー マルタン, ホーヴィントン ピエール, Pierre Hovington, ホーヴィントン ピエール",2015-05-26,2015-05-26,2015-10-29,,https://patents.google.com/patent/JP2015187992A/en,
EP-4317059-A1,Solid electrolyte ,"Mitsui Mining & Smelting Co., Ltd.","Yuki Nakayama, Tsukasa Takahashi",2021-03-31,2022-03-28,2024-02-07,,https://patents.google.com/patent/EP4317059A1/en,https://patentimages.storage.googleapis.com/52/d4/5b/699b275424c172/imgf0001.png
WO-2024029480-A1,Glass-ceramics solid electrolyte and lithium-ion battery ,出光興産株式会社,"直也 増田, 恒太 寺井",2022-08-03,2023-07-31,2024-02-08,,https://patents.google.com/patent/WO2024029480A1/en,https://patentimages.storage.googleapis.com/4a/20/19/936d21bed12b4b/JPOXMLDOC01-appb-D000002.png
TW-202138288-A,"Sulfur-containing compound, solid electrolyte and battery ",日商三井金屬鑛業股份有限公司,"高橋司, 伊藤崇広, 百武優, 八木輝明",2020-02-19,2020-02-19,2021-10-16,,https://patents.google.com/patent/TW202138288A/en,https://patentimages.storage.googleapis.com/5f/f7/c6/6b2b2e517198e9/109105314-A0202-14-0001-3.png
TW-I829873-B,Sulfide solid electrolyte and battery ,日商三井金屬鑛業股份有限公司,"高橋司, 伊藤崇広, 筑本崇嗣, 八木輝明",2020-02-24,2020-02-24,2024-01-21,2024-01-21,https://patents.google.com/patent/TWI829873B/en,https://patentimages.storage.googleapis.com/a4/39/7a/535743bad4eb05/109105856-A0202-14-0001-5.png
WO-2024096107-A1,Battery ,住友化学株式会社,篤典 土居,2022-11-04,2023-11-02,2024-05-10,,https://patents.google.com/patent/WO2024096107A1/en,https://patentimages.storage.googleapis.com/8b/1d/1a/953cf91208e9b2/JPOXMLDOC01-appb-D000008.png
US-2024083748-A1,Method for producing solid electrolyte ,"Idemitsu Kosan Co., Ltd.","Nobuhito NAKAYA, Hiroaki Yamada",2021-01-28,2022-01-21,2024-03-14,,https://patents.google.com/patent/US20240083748A1/en,https://patentimages.storage.googleapis.com/a4/d0/89/cea7487d34be48/US20240083748A1-20240314-D00000.png
CN-106785000-A,"A kind of lithium sulfide system solid electrolyte material for adding lithium-tin alloy, silver iodide and silver bromide and preparation method thereof ",桂林电器科学研究院有限公司,"王振宇, 朱凌云, 张天锦, 刘鑫雨, 何旻雁",2017-02-13,2017-02-13,2017-05-31,,https://patents.google.com/patent/CN106785000A/en,
KR-20240052961-A,"Lithium-containing chloride and its production method, and solid electrolyte and battery ","스미또모 가가꾸 가부시키가이샤, 고쿠리츠 다이가쿠 호진 교토 다이가쿠","아츠노리 도이, 히로시 가게야마, 세드릭 타셀",2021-09-07,2022-09-06,2024-04-23,,https://patents.google.com/patent/KR20240052961A/en,https://patentimages.storage.googleapis.com/98/b3/66/dd3846656bb79d/pct00003.png
CN-106785001-A,A kind of lithium sulfide system solid electrolyte material of chloride containing silver and preparation method thereof ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2017-05-31,,https://patents.google.com/patent/CN106785001A/en,
TW-I839436-B,"Sulfide compound particle, solid electrolyte and lithium secondary battery ",日商三井金屬鑛業股份有限公司,"伊藤崇広, 高橋司, 百武優, 八木輝明",,2020-01-07,2024-04-21,2024-04-21,https://patents.google.com/patent/TWI839436B/en,
WO-2024085045-A1,"Sulfide solid electrolyte and method for producing same, electrode mixture, solid electrolyte layer, and all-solid-state lithium ion secondary battery ",Ａｇｃ株式会社,"仁介 三宅, 公章 赤塚, 直樹 藤井, 真弓 福峯",2022-10-21,2023-10-11,2024-04-25,,https://patents.google.com/patent/WO2024085045A1/en,https://patentimages.storage.googleapis.com/54/3f/5c/b77b6a66adf6ec/JPOXMLDOC01-appb-D000002.png
CN-106684460-A,Lithium sulfide solid electrolyte material with addition of lithium-tin alloy and silver halogen compound and preparation method thereof ,桂林电器科学研究院有限公司,"王振宇, 朱凌云, 张天锦, 王奐然, 赵霞妍",2017-02-13,2017-02-13,2017-05-17,,https://patents.google.com/patent/CN106684460A/en,
EP-4339970-A1,"Sulfide solid electrolyte composition, electrode mixture containing same, and method for producing sulfide solid electrolyte composition ","Idemitsu Kosan Co., Ltd","Takayoshi Kambara, Atsushi Sato",2021-05-14,2022-05-10,2024-03-20,,https://patents.google.com/patent/EP4339970A1/en,https://patentimages.storage.googleapis.com/f4/64/fa/21dc39881a5b1f/imgf0001.png
CN-106785006-A,A kind of lithium sulfide system solid electrolyte material for adding Li-Si alloy and silver chlorate and preparation method thereof ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2017-05-31,,https://patents.google.com/patent/CN106785006A/en,
CN-106784999-B,A kind of lithium sulfide system solid electrolyte material and preparation method thereof of addition Li-Si alloy and silver-colored halogen compound ,桂林电器科学研究院有限公司,"朱凌云, 王振宇, 张天锦",2017-02-13,2017-02-13,2019-04-09,2019-04-09,https://patents.google.com/patent/CN106784999B/en,
KR-102358150-B1,Li2S-MaXb-P2S5 TYPE SOLID ELECTROLYTE AND LITHIUM ION BATTERY INCLUDING THE SAME ,울산대학교 산학협력단,"류광선, 라자고팔 라제스, 정수연",2019-11-25,2019-11-25,2022-02-04,2022-02-04,https://patents.google.com/patent/KR102358150B1/en,https://patentimages.storage.googleapis.com/8e/7e/61/e00836bb87804f/112019121084808-pat00003.png
US-10847798-B2,"Tellurium-doped MXene composite material, and preparation method and use thereof ",Wuyi University,"Yelong ZHANG, Hongyang Sun, XiaoDan Xu, Yuxuan FAN, Da Wang, Chi Zhang, Weidong Song, Mei Chen, Jinxiu WEN, Yue Guo, Qingguang ZENG, Zhangquan PENG",2019-01-16,2019-07-31,2020-11-24,2020-11-24,https://patents.google.com/patent/US10847798B2/en,https://patentimages.storage.googleapis.com/33/39/b6/91571279df3668/US10847798-20201124-D00000.png
CN-113871588-A,"Lithium battery core-shell cathode material, lithium battery containing lithium battery core-shell cathode material and preparation method of lithium battery ",武汉理工大学,"郑庆祥, 金积德, 杨婷婷, 李英拓",2021-09-13,2021-09-13,2021-12-31,,https://patents.google.com/patent/CN113871588A/en,https://patentimages.storage.googleapis.com/08/bf/df/9c6f8d83332a09/HDA0003260365160000011.png
KR-20150057239-A,Anode Active Materials comprising Mo-Si-P Systems For Li Ion Batteries And Manufacturing Methods Thereof ,한국전기연구원,"박금재, 이상민, 도칠훈, 이주은",2013-11-19,2013-11-19,2015-05-28,,https://patents.google.com/patent/KR20150057239A/en,https://patentimages.storage.googleapis.com/3e/ad/ac/b98734e329b412/pat00001.png
KR-20170095888-A,"Positive electrode active material for lithium secondary batteries, positive electrode for lithium secondary batteries, and lithium secondary battery ","스미또모 가가꾸 가부시끼가이샤, 가부시끼가이샤 다나까 가가꾸 겡뀨쇼","준이치 가게우라, 히로유키 구리타, 유이치로 이마나리",2014-12-25,2015-12-22,2017-08-23,,https://patents.google.com/patent/KR20170095888A/en,https://patentimages.storage.googleapis.com/43/37/d2/b9a8c5b575fc2b/pct00002.png
CN-109309207-B,"Positive electrode active material, preparation method thereof, positive electrode and lithium ion battery ","比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","焦晓朋, 李世彩",2017-07-28,2017-07-28,2022-02-08,2022-02-08,https://patents.google.com/patent/CN109309207B/en,https://patentimages.storage.googleapis.com/e7/53/35/aa65cc9be62411/HDA0001363455610000011.png
KR-20210136595-A,"Sulfide based solid electrolyte for all solid battery, manufacturing method thereof and all solid battery comprising the solid electrolyte ",한국과학기술연구원,"정훈기, 정경윤, 김형철, 김형석, 김상옥, 류승호, 임희대, 이민아, 김준태, 신현지, 정민기, 박재호, 정지원, 김민곤",2020-05-08,2020-05-08,2021-11-17,,https://patents.google.com/patent/KR20210136595A/en,https://patentimages.storage.googleapis.com/9b/45/94/185bc12487e575/pat00001.png
CN-112768756-A,"Solid electrolyte material, and composite solid electrolyte and all-solid-state battery prepared from same ","河北光兴半导体技术有限公司, 东旭光电科技股份有限公司, 东旭科技集团有限公司","李青, 李赫然, 田鹏, 胡恒广, 李亚迪, 张广涛, 王博, 郝艺, 闫冬成, 史伟华",2021-01-13,2021-01-13,2021-05-07,,https://patents.google.com/patent/CN112768756A/en,
CN-106711438-A,Method for measuring and improving lithium ion battery performance ,绍兴文理学院,"王高军, 王象, 卓泽旭, 李晨敏, 钟琴",2016-12-30,2016-12-30,2017-05-24,,https://patents.google.com/patent/CN106711438A/en,
